"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"West Branch Library" "435 N.W. Hall Of Fame Drive, " "Lake City" "FL" NA NA
"Lake Helen Public Library" "221 North Euclid Ave., " "Lake Helen" "FL" NA NA
"Northwest Branch Library" "580 Greenway Blvd., " "Lake Mary" "FL" NA NA
"Panasoffkee Community Library, Inc." "1500 Cr 459, " "Lake Panasoffkee" "FL" NA NA
"Lake Park Public Library" "529 Park Ave., 33403" "Lake Park" "FL" NA NA
"Lake Placid Memorial Library" "205 West Interlake Boulevard, " "Lake Placid" "FL" NA NA
"Lake Wales Public Library" "290 Cypress Garden Lane, " "Lake Wales" "FL" NA NA
"Lake Worth Public Library" "15 North M Street, 33460" "Lake Worth" "FL" NA NA
"Lakeland Public Library" "100 Lake Morton Drive, " "Lakeland" "FL" NA NA
"Larry R. Jackson Branch Library" "1700 N Florida Ave., " "Lakeland" "FL" NA NA
"Land Olakes Branch Library" "2818 Collier Pkwy., " "Land Olakes" "FL" NA NA
"Lantana Public Library" "205 West Ocean Avenue, 33462" "Lantana" "FL" NA NA
"Largo Public Library" "351 East Bay Drive, " "Largo" "FL" NA NA
"Lauderdale Lakes Branch" "3521 Nw 43rd Avenue, " "Lauderdale Lakes" "FL" NA NA
"Lauderhill-City Hall Complex Branch" "2000 City Hall Drive, " "Lauderhill" "FL" NA NA
"Lauderhill-Mall Branch" "4257 Nw 12th Street, " "Lauderhill" "FL" NA NA
"Gladys N. Milton Memorial Library" "261 Flowersview Blvd, " "Laurel Hill" "FL" NA NA
"Lee Library" "190 S.E. Cr 255, " "Lee" "FL" NA NA
"Leesburg Public Library" "204 N Fifth St., " "Leesburg" "FL" NA NA
"East County Regional Library" "881 Gunnnery Road, 33971" "Lehigh Acres" "FL" NA NA
"Doreen Gauthier Lighthouse Point Library" "2200 N.E. 38th Street, 33064" "Lighthouse Point" "FL" NA NA
"Lighthouse Point Library" "2200 N.E. 38th Street, " "Lighthouse Point" "FL" NA NA
"Suwannee River Regional Library System" "1848 Ohio-M L King Avenue South, 32064" "Live Oak" "FL" NA NA
"West Branch Library" "245 Hunt Club Blvd., North, " "Longwood" "FL" NA NA
"Lutz Branch Library" "101 West Lutz Lake Fern Rd., " "Lutz" "FL" NA NA
"Lynn Haven Public Library" "901 Ohio Avenue, 32444" "Lynn Haven" "FL" NA NA
"Emily Taber Library" "14 Mciver Avenue West, " "Macclenny" "FL" NA NA
"Gulf Beaches Public Library" "200 Municipal Drive, " "Madeira Beach" "FL" NA NA
"Madison County Library" "100 College Drive, " "Madison" "FL" NA NA
"Maitland Public Library" "501 South Maitland Avenue, 32751" "Maitland" "FL" NA NA
"George Dolezal Branch" "3251 Overseas Highway, " "Marathon" "FL" NA NA
"Marco Island Branch Library" "210 South Heathwood Dr., " "Marco Island" "FL" NA NA
"Margate Catharine Young Branch" "5810 Park Drive, " "Margate" "FL" NA NA
"Jackson County Public Library" "2929 Green Street, " "Marianna" "FL" NA NA
"Panhandle Public Library Cooperative System" "2925 Optimist Drive, Suite A, 32448" "Marianna" "FL" NA NA
"Mary Esther Public Library" "100 Hollywood, West, " "Mary Esther" "FL" NA NA
"Lafayette County Library" ", " "Mayo" "FL" NA NA
"Three Rivers Regional Library System" "262 W. Main St., 32066" "Mayo" "FL" NA NA
"Dr. Martin Luther King Jr. Library" "995 East University Blvd., " "Melbourne" "FL" NA NA
"Eau Gallie Public Library" "1521 Pineapple Avenue, " "Melbourne" "FL" NA NA
"Melbourne Public Library" "540 East Fee Avenue, " "Melbourne" "FL" NA NA
"Suntree-Viera Public Library" "335 Pineda Court, Unit 335, " "Melbourne" "FL" NA NA
"West Melbourne Public Library" "2755 Wingate Blvd., " "Melbourne" "FL" NA NA
"Melbourne Beach Library" "324 Ocean Avenue, " "Melbourne Beach" "FL" NA NA
"Melrose Public Library" "312 Wynnwood Ave, 32666" "Melrose" "FL" NA NA
"Merritt Island Public Library" "1195 N. Courtenay Parkway, 32953" "Merritt Island" "FL" NA NA
"Allapattah Branch Library" "1799 Nw 35th Street, 33142" "Miami" "FL" NA NA
