"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
" 46.58501 -112.041393 62880 1 3 1 11 12.1 18.9899999999999 31.09 2954951 30591 0 214962 3200504 1265852 418082 1683934 132938 82406 44854 260198 683446 2627578 0 0 0 0 0 132999 115155 13563 7415 9932 11050 0 14 34 48 225 8164 332020 15340 28335 479440 165752 37419 2354 2584 830 387 183 31924 18555 7762 50 58188 36164 2015 2013-07-01 2014-06-30 1 7 0 0 0 "HQ" "120 SOUTH LAST CHANCE GULCH" "HELENA" 59601 4064471690 "LEWIS AND CLARK" 65856 "CC" "MO" "Y" "N" 1742235 2.25 8942.6625 2048877.865125 2602074.88870875 75.4678992884174
"MT" "MT0045" "967" "LEWISTOWN PUBLIC LIBRARY" 33 10025 "701 WEST MAIN
LEWISTOWN, MT 59457
(47.062421, -109.430459)" "701 WEST MAIN
LEWISTOWN, MT 59457
" 47.062421 -109.430459 9944 1 0 0 0 4 1.5 5.5 237767 6321 0 60284 304372 177500 64860 242360 20400 5000 1000 26400 11000 279760 5000 0 0 23000 28000 32000 53200 13563 1899 9932 2684 0 0 34 34 20 2080 89908 4056 4274 71383 28554 6431 316 285 145 117 2 5689 4206 19 7 19500 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "HQ" "701 WEST MAIN" "LEWISTOWN" 59457 4065385212 "FERGUS" 11442 "CI" "SO" "Y" "N" 751754 4.5 2178.375 882100.87875 1120268.1160125 87.5586301388225
"MT" "MT0052" "969" "MOORE MEMORIAL  PUBLIC LIBRARY" 43 495 "403 FERGUS AVENUE
MOORE, MT 59464
(46.974832, -109.696308)" "403 FERGUS AVENUE
MOORE, MT 59464
" 46.974832 -109.696308 491 1 0 0 0 0.25 0 0.25 12585 1721 0 4000 18306 NA NA NA 979 0 0 979 NA 8626 0 0 0 0 0 0 7816 0 65 0 29 0 0 34 34 0 780 2496 780 98 426 426 0 0 0 0 0 0 0 0 0 1 468 0 2015 2013-07-01 2014-06-30 1 7 0 6 0 "ME" "PO BOX 125" "MOORE" 59464 4063742364 "FERGUS" 11442 "CI" "SO" "Y" "N" 102875 22.5 371.625 120798.55125 153414.1600875 78.6772006315084
"MT" "MT0062" "974" "TOOLE COUNTY LIBRARY" 33 5324 "229 2ND AVE S
SHELBY, MT 59474
(48.503559, -111.855979)" "229 2ND AVE S
SHELBY, MT 59474
" 48.503559 -111.855979 5281 1 1 0 2.3 3.25 0 3.25 126450 4236 0 2490 133176 113389 16928 130317 15658 724 1000 17382 7625 155324 0 0 0 0 0 0 25859 13563 100 9932 515 0 0 34 34 30 2860 34892 2392 1672 11495 11495 2501 62 111 117 103 0 1566 1391 0 6 3900 100 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "229 2ND AVE S" "SHELBY" 59474 4064248345 "TOOLE" 5150 "CO" "MO" "Y" "N" 344822 7 1605.54 405320.2218 514756.681686 75.892467606041
"MT" "MT0065" "979" "JUDITH BASIN COUNTY FREE LIBRARY" 43 2072 "93 THIRD STREET NORTH
STANFORD, MT 59479
(47.150334, -110.218272)" "93 THIRD STREET NORTH
STANFORD, MT 59479
