"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
" 37.504652 -97.50537 2530 1 0 0 0.9 1.65 0.6 2.25 81622 14448 1393 5986 103449 56419 8819 65238 3957 2500 2155 8612 18784 92634 0 0 0 100 100 0 16332 41434 1052 1046 1610 24 0 52 52 2 1872 12855 363 1762 23228 12664 1385 406 755 100 47 4 1645 1503 25 6 1673 132 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "109 E. ROSS" "CLEARWATER" 67026 6205846474 "SEDGWICK" 508803 "CI" "SO" "Y" "N" 247218 10 1096.5 248314.5 83.7571469562783 0.000142546398504697 35.3963376714947 97.088247356059 0.000106088101488193 26.3432138769898
"KS" "KS0200" "KS0020" "BELLE PLAINE PUBLIC LIBRARY" 42 1630 "222 W. 5TH
BELLE PLAINE, KS 67013
(37.393648, -97.282001)" "222 W. 5TH
BELLE PLAINE, KS 67013
" 37.393648 -97.282001 1630 1 0 0 0.3 0.78 0.03 0.81 32864 6330 0 2615 41809 NA NA NA 6027 0 542 6569 NA 39921 2500 0 0 0 2500 1600 9008 0 8 0 135 0 0 52 52 28 1508 4112 100 484 3692 1722 0 62 96 47 35 0 376 312 0 2 1512 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "PO BOX 700" "BELLE PLAINE" 67013 6204883431 "SUMNER" 23528 "CI" "SO" "Y" "N" 119417 14.25 818.325 120235.325 80.9532486131331 0.000152591884682662 18.3469348471824 110.44403295761 8.19814293938613e-05 9.85706380713546
"KS" "KS0201" "KS0109" "GODDARD PUBLIC LIBRARY" 21 4582 "201 N. MAIN
GODDARD, KS 67052
(37.65826, -97.574925)" "201 N. MAIN
GODDARD, KS 67052
" 37.65826 -97.574925 4582 1 0 0 0 2.78 0.08 2.86 114700 18268 373 7007 140348 55429 5646 61075 16840 1125 1547 19512 42607 123194 0 0 0 0 0 0 25085 0 257 0 1433 0 1 52 53 49 2704 17294 1599 3531 46821 24935 0 571 280 162 91 50 3229 2901 293 10 3236 475 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "201 N. MAIN" "GODDARD" 67052 3167948771 "SEDGWICK" 508803 "CI" "SO" "Y" "N" 349162 10 1803.6 350965.6 93.165985274224 0.000115208689781803 40.4342869344844 117.034933575254 7.30077516404926e-05 25.6232093591565
"KS" "KS0204" "KS0072" "DOUGLASS PUBLIC LIBRARY" 42 2479 "319 S. FOREST
DOUGLASS, KS 67039
(37.517173, -97.016288)" "319 S. FOREST
DOUGLASS, KS 67039
" 37.517173 -97.016288 2479 1 0 0 0 1 0.88 1.88 96225 13526 120 6919 116790 NA NA NA 13383 900 2122 16405 NA 94209 0 0 0 0 0 1821 29394 27 652 4 1570 0 0 52 52 27 2184 20511 2875 2558 21862 9419 109 766 492 117 52 8 1370 1030 64 6 4571 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "PO BOX 190" "DOUGLASS" 67039 3167462600 "BUTLER" 66227 "CI" "SO" "Y" "N" 411629 14.25 1341.7725 412970.7725 95.4911343002576 0.000109666477888492 45.2890500909646 132.837685013732 5.66705468013952e-05 23.4032794905696
